State_ID,State_Label,Feature,Mean,Median,Std,Min,Max,Q25,Q75
0,DEEP REST,Whistle,0.3768694996833801,0.3710673451423645,0.10493576526641846,0.04634220898151398,0.9998182654380798,0.3026566505432129,0.4430540204048157
0,DEEP REST,Burst,0.1306087076663971,0.12008645385503769,0.05130976811051369,0.0,0.7229117155075073,0.0980582982301712,0.14986538887023926
0,DEEP REST,Click,0.6620062589645386,0.6635432243347168,0.0424182191491127,0.0,0.8573940992355347,0.6362696290016174,0.6895776391029358
1,SOFT BURST,Whistle,0.42597827315330505,0.4061189889907837,0.13760431110858917,0.1037951409816742,0.9999781250953674,0.33016377687454224,0.49953147768974304
1,SOFT BURST,Burst,0.14428316056728363,0.12947116792201996,0.0624154657125473,0.0009130570688284934,0.7816490530967712,0.10346541553735733,0.16726525872945786
1,SOFT BURST,Click,0.6598070859909058,0.6616277694702148,0.04801104590296745,0.0,1.0,0.6338669657707214,0.6889453828334808
2,INTENSE BURST,Whistle,0.399311900138855,0.38004833459854126,0.1317811757326126,0.08573184907436371,1.0000001192092896,0.3106279671192169,0.46289853751659393
2,INTENSE BURST,Burst,0.23311679065227509,0.2202356457710266,0.09731585532426834,0.01609864830970764,0.9999999403953552,0.16555915400385857,0.2765561565756798
2,INTENSE BURST,Click,0.6565837860107422,0.6563254594802856,0.056306228041648865,0.0,0.971554160118103,0.6245122402906418,0.6890233755111694
3,BASELINE,Whistle,0.3828175961971283,0.3734845519065857,0.11144497990608215,0.06939604878425598,0.9998182654380798,0.30468493700027466,0.4517085552215576
3,BASELINE,Burst,0.1268913894891739,0.11687702685594559,0.05026790127158165,3.360535174579127e-07,0.8080246448516846,0.0960855484008789,0.14483694732189178
3,BASELINE,Click,0.662690281867981,0.6646870970726013,0.04185742884874344,0.0,0.8813124895095825,0.6376502513885498,0.689918577671051
4,SOCIAL PLAY,Whistle,0.42915892601013184,0.4146612882614136,0.13177736103534698,0.08784154057502747,0.9998422265052795,0.33790668845176697,0.49978724122047424
4,SOCIAL PLAY,Burst,0.154892235994339,0.13594217598438263,0.07575590163469315,0.0005361450021155179,0.9725729823112488,0.10815953835844994,0.1786065772175789
4,SOCIAL PLAY,Click,0.6624273657798767,0.6630733013153076,0.04901694878935814,0.0,0.9656720757484436,0.6340703666210175,0.6911367475986481
5,SOFT BURST (1),Whistle,0.38381820917129517,0.3763311207294464,0.10761342197656631,0.005900382995605469,0.9680364727973938,0.3075578659772873,0.45154306292533875
5,SOFT BURST (1),Burst,0.13695114850997925,0.12495456635951996,0.05688439682126045,0.018566815182566643,0.842689037322998,0.10127461887896061,0.15734484791755676
5,SOFT BURST (1),Click,0.662124514579773,0.6637645959854126,0.04357185214757919,0.0,0.918016254901886,0.6353403776884079,0.6899627894163132
6,BASELINE (1),Whistle,0.3784700036048889,0.37359803915023804,0.10425671935081482,0.07291518151760101,0.9560332894325256,0.3047127425670624,0.4459317624568939
6,BASELINE (1),Burst,0.13093462586402893,0.12071947008371353,0.05047466978430748,0.01784190535545349,0.7588009834289551,0.09863943606615067,0.15061602741479874
6,BASELINE (1),Click,0.6606415510177612,0.6621710658073425,0.042797647416591644,0.0,0.8802032470703125,0.634509414434433,0.6884099543094635
7,SCAN BURST,Whistle,0.39049938321113586,0.3840014338493347,0.10925228893756866,0.0,0.9624045491218567,0.31361857056617737,0.4587169587612152
7,SCAN BURST,Burst,0.13381163775920868,0.12107431143522263,0.05918426066637039,0.019169218838214874,0.8774150609970093,0.09839636832475662,0.15227867662906647
7,SCAN BURST,Click,0.662895143032074,0.6641432046890259,0.0444042943418026,0.0,0.9326507449150085,0.6361118257045746,0.6903789341449738
