Pattern,Count,Expected,Z_Score,Significant
BASELINE→DEEP RES→SCAN BUR,5902,586.16,228.67806968435056,True
SOCIAL P→INTENSE →SOFT BUR,930,20.4,224.33629604374713,True
SOFT BUR→BASELINE→DEEP RES,5421,576.88,205.87651643530563,True
DEEP RES→SCAN BUR→SOFT BUR,5624,576.02,194.63455802014496,True
SCAN BUR→SOFT BUR→BASELINE,4969,555.34,176.52600889317497,True
DEEP RES→SCAN BUR→SOCIAL P,2377,258.44,142.37891628010442,True
SCAN BUR→SOCIAL P→BASELINE,1917,248.14,125.95245140886844,True
SOFT BUR→DEEP RES→SCAN BUR,1402,208.42,123.92608665813752,True
BASELINE→DEEP RES→BASELINE,2625,357.02,121.72706229924681,True
BASELINE→SCAN BUR→SOFT BUR,2053,337.0,106.5941321007034,True
INTENSE →SOFT BUR→BASELINE,498,27.54,100.19225808249946,True
BASELINE→SCAN BUR→SOCIAL P,1088,151.98,94.48502594624438,True
INTENSE →SOFT BUR→DEEP RES,712,46.82,88.77150527077022,True
SCAN BUR→SOCIAL P→INTENSE ,643,54.12,87.6822271786157,True
SOCIAL P→BASELINE→DEEP RES,1633,256.68,83.46123190588052,True
SCAN BUR→BASELINE→DEEP RES,2495,585.96,81.26603470777293,True
DEEP RES→BASELINE→SOFT BUR,1934,354.52,80.91394501833167,True
SOFT BUR→BASELINE→SCAN BUR,912,125.02,80.12922958789581,True
INTENSE →SOFT BUR→INTENSE ,273,10.18,77.34149186062415,True
DEEP RES→SCAN BUR→BASELINE,2322,579.16,71.29778905313454,True
SOFT BUR→BASELINE→SOFT BUR,896,119.4,70.56501775324081,True
BASELINE→SOFT BUR→BASELINE,1431,336.78,65.42819461395926,True
SOFT BUR→INTENSE →SOFT BUR,516,42.74,65.40809513186981,True
SOCIAL P→BASELINE→SOFT BUR,701,89.78,61.76410200156479,True
BASELINE→SOFT BUR→BASELINE,832,123.8,60.84407996449381,True
DEEP RES→BASELINE→SCAN BUR,1671,353.12,59.03039605507344,True
SCAN BUR→SOFT BUR→SOCIAL P,1052,242.52,57.20319605897975,True
BASELINE→BASELINE→SOFT BUR,1164,336.5,54.0711100391423,True
SOFT BUR→BASELINE→BASELINE,1360,340.94,53.734827448353535,True
INTENSE →SOCIAL P→INTENSE ,160,10.44,51.339745025722365,True
SOFT BUR→DEEP RES→BASELINE,707,129.52,50.61534048452528,True
BASELINE→SOFT BUR→DEEP RES,929,207.0,50.49568423532899,True
SOFT BUR→DEEP RES→SCAN BUR,1411,575.14,45.11113329266086,True
SCAN BUR→SOFT BUR→INTENSE ,565,119.74,43.31445920095377,True
SOFT BUR→SOCIAL P→BASELINE,869,243.7,41.65613003064159,True
BASELINE→BASELINE→SCAN BUR,1196,344.6,41.20599404783093,True
BASELINE→SOFT BUR→SOCIAL P,615,148.4,38.28708162612022,True
SOFT BUR→SOFT BUR→DEEP RES,792,206.98,38.278354336453646,True
INTENSE →BASELINE→SOFT BUR,297,45.6,36.19608703185899,True
SOFT BUR→INTENSE →SOFT BUR,126,15.38,33.48188094542359,True
SOFT BUR→SOCIAL P→INTENSE ,283,54.56,33.319130198476394,True
INTENSE →SOFT BUR→SOFT BUR,274,43.54,33.30277276168094,True
SOFT BUR→SOFT BUR→BASELINE,454,124.0,29.99504255139968,True
BASELINE→SCAN BUR→BASELINE,959,343.42,29.58959827948147,True
SOFT BUR→BASELINE→SOFT BUR,558,196.3,29.01782958685753,True
SCAN BUR→SOCIAL P→DEEP RES,715,255.02,28.69390291242236,True
SOCIAL P→DEEP RES→SCAN BUR,759,254.54,28.673221138551913,True
SOFT BUR→INTENSE →BASELINE,441,121.7,28.525989231173885,True
SCAN BUR→SOFT BUR→SOFT BUR,639,200.4,28.358812401133367,True
BASELINE→DEEP RES→SCAN BUR,885,358.6,26.941431618164078,True
BASELINE→SOFT BUR→DEEP RES,776,348.76,26.751533683708722,True
DEEP RES→SOCIAL P→INTENSE ,275,56.26,26.395937718582566,True
SOCIAL P→INTENSE →BASELINE,278,53.78,26.212175824842998,True
BASELINE→SOFT BUR→SCAN BUR,742,339.2,24.28445607028978,True
BASELINE→DEEP RES→SOFT BUR,1091,576.44,23.635361281510967,True
SOCIAL P→BASELINE→BASELINE,453,149.98,22.612198744147868,True
INTENSE →BASELINE→DEEP RES,325,125.54,22.238070831189198,True
SOFT BUR→SOCIAL P→DEEP RES,587,253.56,21.949842572538522,True
BASELINE→SOFT BUR→BASELINE,485,203.88,21.757262699512044,True
INTENSE →BASELINE→INTENSE ,117,27.48,20.685014149225637,True
SCAN BUR→BASELINE→BASELINE,664,340.8,19.961268569534756,True
SCAN BUR→BASELINE→SOFT BUR,486,201.92,19.14424807605059,True
BASELINE→INTENSE →SOFT BUR,172,45.58,18.47890175347589,True
SOFT BUR→INTENSE →SOCIAL P,101,19.2,16.655767580576278,True
SOFT BUR→DEEP RES→SOCIAL P,235,91.46,16.5033864132197,True
INTENSE →SOFT BUR→SOCIAL P,84,20.72,16.187584804114184,True
SOCIAL P→SOFT BUR→BASELINE,153,52.6,16.13489109798395,True
SCAN BUR→INTENSE →SOFT BUR,142,46.94,12.982220603198972,True
BASELINE→SOFT BUR→SOFT BUR,268,123.04,12.733516647141885,True
SOCIAL P→INTENSE →DEEP RES,150,56.72,12.222833301268853,True
BASELINE→SOFT BUR→INTENSE ,198,73.04,11.847961922394747,True
SOFT BUR→BASELINE→SCAN BUR,541,338.94,10.515170838582073,True
BASELINE→DEEP RES→SOCIAL P,398,251.08,10.394177609309715,True
INTENSE →DEEP RES→INTENSE ,73,27.32,10.089614851086225,True
DEEP RES→SOFT BUR→BASELINE,804,569.44,9.886522864821098,True
INTENSE →SOFT BUR→INTENSE ,69,26.24,9.195720188994846,True
SOFT BUR→SOFT BUR→INTENSE ,119,44.34,9.166126576400094,True
SCAN BUR→SOFT BUR→DEEP RES,773,571.02,8.684604348385912,True
SOCIAL P→BASELINE→INTENSE ,112,55.96,8.558129245239032,True
SOCIAL P→DEEP RES→BASELINE,260,154.62,8.467723985733432,True
SOFT BUR→INTENSE →DEEP RES,206,126.46,8.055808157343746,True
SCAN BUR→SOCIAL P→SOFT BUR,161,89.06,7.428885337935849,True
SOFT BUR→SOFT BUR→SOCIAL P,153,87.62,7.280840301843255,True
INTENSE →DEEP RES→SCAN BUR,187,126.9,7.024077077437491,True
BASELINE→SOFT BUR→SOFT BUR,286,200.36,6.658386463441093,True
SOFT BUR→SCAN BUR→BASELINE,661,553.04,6.43716563888686,True
DEEP RES→SOCIAL P→BASELINE,338,258.08,6.0989226937270375,True
SOFT BUR→BASELINE→DEEP RES,194,130.8,5.982531320735749,True
SOCIAL P→SOFT BUR→SOFT BUR,148,85.86,5.970574494476419,True
SOCIAL P→INTENSE →SOCIAL P,53,24.54,5.476277754529662,True
SOFT BUR→SOCIAL P→INTENSE ,43,20.08,5.421364355762666,True
INTENSE →SOFT BUR→SCAN BUR,72,45.4,4.783677508416283,True
INTENSE →BASELINE→BASELINE,109,74.04,4.740000209735625,True
SOCIAL P→SOFT BUR→INTENSE ,85,52.92,4.335388488833857,True
DEEP RES→INTENSE →SOFT BUR,72,46.96,4.259489097598859,True
SCAN BUR→SOCIAL P→SOFT BUR,306,242.38,4.127032733815005,True
SOFT BUR→INTENSE →SOCIAL P,81,52.54,4.057095900990783,True
BASELINE→SOCIAL P→INTENSE ,83,54.68,3.9711410977605075,True
DEEP RES→SOFT BUR→INTENSE ,162,124.14,3.4572761913458145,True
BASELINE→SOFT BUR→BASELINE,104,75.82,3.44202606033601,True
BASELINE→BASELINE→DEEP RES,415,360.0,2.834900902030936,True
SOCIAL P→SOFT BUR→BASELINE,282,243.62,2.5458250995130185,True
SOFT BUR→SOFT BUR→SOFT BUR,88,72.66,2.216346494112721,True
SOFT BUR→BASELINE→SOFT BUR,56,46.22,1.6128077109790289,False
DEEP RES→SCAN BUR→INTENSE ,145,130.4,1.4269902270650239,False
SOCIAL P→DEEP RES→SOCIAL P,127,112.14,1.3083480183549092,False
INTENSE →SOFT BUR→BASELINE,51,45.34,0.8522666060996361,False
SOCIAL P→BASELINE→SOFT BUR,251,242.6,0.7312369568869649,False
SOFT BUR→SCAN BUR→SOCIAL P,254,245.86,0.5259605256654959,False
SOFT BUR→BASELINE→SOFT BUR,335,330.42,0.2708951574267659,False
INTENSE →DEEP RES→SOCIAL P,60,58.46,0.20696158130014622,False
BASELINE→BASELINE→DEEP RES,362,358.96,0.17615023971281973,False
INTENSE →SOCIAL P→BASELINE,56,55.18,0.12302331512753442,False
SOFT BUR→SOFT BUR→BASELINE,195,198.04,-0.22980345012206851,False
SOFT BUR→DEEP RES→SOFT BUR,202,209.16,-0.5138800685715859,False
SOCIAL P→INTENSE →SOFT BUR,50,54.28,-0.5221003235844193,False
BASELINE→INTENSE →SOCIAL P,50,53.72,-0.5528178503847705,False
SOCIAL P→SCAN BUR→SOCIAL P,101,106.44,-0.5878199794755676,False
SOFT BUR→INTENSE →BASELINE,38,43.76,-0.7654703032141189,False
INTENSE →SOFT BUR→SOFT BUR,38,44.36,-0.8186853881277921,False
SOFT BUR→SOCIAL P→SCAN BUR,231,246.18,-0.90365531770239,False
INTENSE →DEEP RES→SOFT BUR,38,46.28,-1.204669840625902,False
SCAN BUR→SOFT BUR→BASELINE,313,336.28,-1.314684492078567,False
SOCIAL P→SOFT BUR→BASELINE,131,147.64,-1.3220079371591502,False
INTENSE →SOCIAL P→SOFT BUR,14,18.74,-1.385017923743174,False
SOCIAL P→SCAN BUR→SOFT BUR,218,242.12,-1.6406052760735708,False
SOCIAL P→SOFT BUR→DEEP RES,76,91.14,-1.8018651861073494,False
BASELINE→SOFT BUR→INTENSE ,33,44.12,-1.825513537774694,False
INTENSE →DEEP RES→BASELINE,63,79.56,-1.9769502252678195,True
SOCIAL P→INTENSE →BASELINE,21,33.26,-2.1383301710606415,True
INTENSE →SCAN BUR→INTENSE ,13,27.24,-2.3033026791138145,True
SOFT BUR→DEEP RES→INTENSE ,28,46.22,-2.455632653911791,True
INTENSE →SOCIAL P→DEEP RES,38,57.72,-2.4963705353159416,True
BASELINE→SOFT BUR→DEEP RES,96,128.16,-2.502936715208983,True
SOFT BUR→INTENSE →SOFT BUR,27,44.96,-2.5119888440585436,True
DEEP RES→SOFT BUR→SOCIAL P,208,256.26,-2.841418368793607,True
INTENSE →SOCIAL P→SOFT BUR,29,52.26,-3.109570091682927,True
DEEP RES→SOFT BUR→BASELINE,88,127.76,-3.2192231950954198,True
SCAN BUR→SOCIAL P→SCAN BUR,190,249.74,-3.2723936689871804,True
SOFT BUR→SCAN BUR→SOCIAL P,63,89.38,-3.3601524146416284,True
BASELINE→SOFT BUR→SOFT BUR,142,197.86,-3.442901995037515,True
SOFT BUR→INTENSE →DEEP RES,28,46.82,-3.4529145844873264,True
SOCIAL P→DEEP RES→SOFT BUR,63,92.86,-3.590550631069712,True
BASELINE→SOFT BUR→INTENSE ,84,123.92,-3.7002066741158495,True
SOFT BUR→BASELINE→INTENSE ,81,119.34,-4.152104147277198,True
SOFT BUR→BASELINE→BASELINE,82,124.12,-4.2156776750987515,True
BASELINE→DEEP RES→SOFT BUR,153,210.88,-4.250994313357956,True
SOFT BUR→SOFT BUR→BASELINE,77,119.72,-4.305681609926648,True
SOCIAL P→BASELINE→SOCIAL P,56,106.68,-4.484120039839474,True
INTENSE →BASELINE→SOCIAL P,17,53.22,-4.485243422514924,True
SOCIAL P→SCAN BUR→BASELINE,176,251.5,-4.533328685331217,True
SOFT BUR→BASELINE→DEEP RES,288,355.02,-4.545221761283133,True
DEEP RES→SOCIAL P→SOFT BUR,177,252.92,-4.756220077822583,True
SOFT BUR→DEEP RES→SOFT BUR,41,73.74,-4.8255505106480525,True
BASELINE→SCAN BUR→INTENSE ,29,77.88,-5.113194504052926,True
SOFT BUR→BASELINE→SOCIAL P,14,54.88,-5.402116918509975,True
SOCIAL P→DEEP RES→BASELINE,168,262.3,-5.429862403654621,True
SCAN BUR→BASELINE→INTENSE ,60,122.78,-5.529794649290686,True
SOCIAL P→INTENSE →SCAN BUR,13,53.56,-5.668078079151793,True
BASELINE→INTENSE →BASELINE,58,120.86,-5.669730216063142,True
SOFT BUR→BASELINE→BASELINE,68,125.4,-5.704739585090812,True
DEEP RES→SOCIAL P→SOFT BUR,41,90.04,-5.733480795255944,True
SOCIAL P→DEEP RES→INTENSE ,11,57.86,-5.894437549319073,True
DEEP RES→BASELINE→SOFT BUR,61,126.34,-5.915983893545871,True
BASELINE→SCAN BUR→BASELINE,124,206.98,-6.052266873826787,True
SOFT BUR→SCAN BUR→SOFT BUR,394,540.56,-6.137827037913883,True
SOFT BUR→DEEP RES→BASELINE,246,353.42,-6.2499602644066865,True
SOFT BUR→SOCIAL P→SOFT BUR,158,240.6,-6.252553913223953,True
BASELINE→DEEP RES→INTENSE ,65,129.74,-6.300229422507574,True
DEEP RES→SOFT BUR→INTENSE ,12,48.12,-6.339222931533786,True
DEEP RES→INTENSE →SOCIAL P,19,56.62,-6.352084062329961,True
SCAN BUR→INTENSE →BASELINE,55,122.84,-6.354511674860394,True
SOCIAL P→DEEP RES→SOFT BUR,147,254.24,-6.409933060382436,True
SOCIAL P→SOFT BUR→SOCIAL P,41,107.28,-6.4194916482961295,True
INTENSE →BASELINE→SOFT BUR,19,72.82,-6.420459831473833,True
BASELINE→INTENSE →DEEP RES,67,130.04,-6.443450392090843,True
SOFT BUR→SOCIAL P→SOFT BUR,35,89.1,-6.5218602146770825,True
BASELINE→BASELINE→SOFT BUR,63,124.88,-6.656242003755516,True
SOFT BUR→SOFT BUR→SCAN BUR,107,200.34,-6.83402697112538,True
SOFT BUR→BASELINE→SOFT BUR,21,71.02,-7.0028554628349,True
BASELINE→BASELINE→SOFT BUR,41,123.44,-7.1818386315508,True
BASELINE→DEEP RES→SOCIAL P,85,162.58,-7.291546608500225,True
INTENSE →BASELINE→SOFT BUR,41,120.22,-7.514776256723312,True
SOFT BUR→SOCIAL P→BASELINE,18,88.3,-7.5749208872695135,True
SOFT BUR→BASELINE→SOFT BUR,36,122.22,-7.59561792388513,True
DEEP RES→BASELINE→BASELINE,217,357.84,-7.614704138296408,True
INTENSE →SOFT BUR→BASELINE,13,73.78,-7.666595092168586,True
DEEP RES→SOFT BUR→SOFT BUR,106,206.74,-7.852303144753481,True
SOCIAL P→SOFT BUR→SOFT BUR,21,86.88,-7.895308698162897,True
DEEP RES→SOFT BUR→SOFT BUR,88,208.38,-8.238336621016316,True
SCAN BUR→BASELINE→SOFT BUR,33,120.44,-8.269453641900412,True
DEEP RES→BASELINE→SOFT BUR,94,214.54,-8.34814990421287,True
INTENSE →SOFT BUR→BASELINE,37,120.42,-8.443786958797457,True
SOFT BUR→SCAN BUR→SOFT BUR,68,196.0,-8.446683095829545,True
BASELINE→SOFT BUR→SOFT BUR,34,122.34,-8.490134262985366,True
SOFT BUR→SOCIAL P→SOFT BUR,18,88.38,-8.510110135185112,True
BASELINE→SOCIAL P→SOFT BUR,12,88.68,-8.529609120674857,True
SOFT BUR→INTENSE →SOFT BUR,21,118.6,-8.552195574239935,True
SOFT BUR→BASELINE→SOFT BUR,343,547.12,-8.83160163811661,True
BASELINE→SOFT BUR→BASELINE,13,119.72,-8.833371768447007,True
INTENSE →DEEP RES→SOFT BUR,49,127.1,-8.8379862684083,True
SOFT BUR→BASELINE→SOCIAL P,14,88.64,-8.891361387832271,True
BASELINE→INTENSE →SOFT BUR,48,123.54,-8.95685329053549,True
DEEP RES→BASELINE→INTENSE ,31,126.7,-8.98641069112704,True
BASELINE→SCAN BUR→DEEP RES,187,354.44,-9.077420330049293,True
SOFT BUR→SOCIAL P→DEEP RES,17,94.9,-9.121879919595347,True
DEEP RES→INTENSE →BASELINE,45,128.38,-9.257840587622866,True
BASELINE→SOFT BUR→SOCIAL P,11,88.86,-9.295406166520863,True
DEEP RES→SCAN BUR→BASELINE,201,358.16,-9.309119788069422,True
INTENSE →DEEP RES→BASELINE,29,131.4,-9.343127918103193,True
DEEP RES→SOCIAL P→DEEP RES,105,268.14,-9.44157301444007,True
SCAN BUR→SOFT BUR→BASELINE,28,126.54,-9.451940088125706,True
SCAN BUR→BASELINE→SOCIAL P,97,246.94,-9.470613376411267,True
BASELINE→BASELINE→BASELINE,97,215.56,-9.734843241548454,True
SOCIAL P→SCAN BUR→SOFT BUR,14,89.04,-9.743121339867605,True
SOFT BUR→BASELINE→SOCIAL P,92,241.08,-9.779289485614576,True
BASELINE→SOCIAL P→SOFT BUR,73,240.9,-9.92102645018224,True
SOFT BUR→SOFT BUR→SOFT BUR,55,197.2,-9.989344895881555,True
DEEP RES→INTENSE →DEEP RES,20,136.18,-10.068498294107842,True
BASELINE→DEEP RES→BASELINE,76,216.9,-10.088765226677936,True
BASELINE→SOFT BUR→BASELINE,291,554.14,-10.12256329964134,True
SOFT BUR→BASELINE→DEEP RES,66,211.38,-10.12429911748407,True
BASELINE→SOFT BUR→SOCIAL P,90,242.88,-10.131268339247415,True
SCAN BUR→SOCIAL P→BASELINE,11,151.82,-10.13467067728317,True
SOFT BUR→SCAN BUR→INTENSE ,18,119.98,-10.178699128232452,True
BASELINE→SCAN BUR→INTENSE ,12,125.82,-10.208683520449997,True
DEEP RES→SOFT BUR→DEEP RES,55,219.04,-10.289577123962584,True
SOCIAL P→SCAN BUR→BASELINE,31,154.24,-10.477894874236851,True
BASELINE→SCAN BUR→SOCIAL P,55,247.76,-10.491244765145781,True
SCAN BUR→INTENSE →DEEP RES,25,129.32,-10.54126787464512,True
DEEP RES→INTENSE →SOFT BUR,24,128.08,-10.74912979664296,True
INTENSE →BASELINE→SCAN BUR,11,124.62,-10.835428946288772,True
BASELINE→SOCIAL P→BASELINE,56,241.72,-10.84023362170798,True
BASELINE→SOFT BUR→BASELINE,182,342.14,-10.995338537321713,True
DEEP RES→SOFT BUR→BASELINE,34,211.36,-11.172842640229906,True
BASELINE→SOFT BUR→BASELINE,41,206.7,-11.316183728556336,True
SCAN BUR→BASELINE→SOFT BUR,158,332.16,-11.348050073067242,True
SOFT BUR→SCAN BUR→BASELINE,37,198.24,-11.391642663696382,True
SOFT BUR→BASELINE→SCAN BUR,13,202.14,-11.652234808035496,True
SOFT BUR→DEEP RES→BASELINE,70,210.62,-11.7136325546083,True
BASELINE→SOFT BUR→SCAN BUR,66,201.64,-11.763673358234882,True
DEEP RES→BASELINE→BASELINE,152,356.14,-11.819160604629205,True
DEEP RES→SOCIAL P→SCAN BUR,73,255.88,-11.856701342572928,True
SCAN BUR→BASELINE→BASELINE,112,343.06,-11.87413871788556,True
SOFT BUR→SOFT BUR→DEEP RES,41,207.12,-11.901423550516329,True
SOFT BUR→SOFT BUR→SCAN BUR,24,196.76,-11.918667072809868,True
SOFT BUR→DEEP RES→SOCIAL P,67,252.14,-11.999825308493797,True
SOCIAL P→BASELINE→SCAN BUR,11,151.26,-12.066636507713419,True
SOFT BUR→SOFT BUR→BASELINE,70,196.88,-12.1071347954755,True
DEEP RES→BASELINE→DEEP RES,131,372.56,-12.235531009190506,True
SCAN BUR→SOFT BUR→SCAN BUR,263,548.06,-12.38202358275509,True
SCAN BUR→BASELINE→SCAN BUR,111,345.2,-12.451107319746553,True
SOCIAL P→BASELINE→SCAN BUR,51,249.38,-12.499851020807045,True
BASELINE→SOCIAL P→SCAN BUR,46,244.3,-12.588763550028837,True
BASELINE→SOFT BUR→SCAN BUR,240,549.08,-12.602252532688784,True
SCAN BUR→BASELINE→SOFT BUR,316,551.58,-12.670653931854497,True
DEEP RES→SOFT BUR→BASELINE,107,355.24,-12.761634405330106,True
SOCIAL P→SOFT BUR→SCAN BUR,29,239.96,-12.943588244917935,True
SOCIAL P→SOFT BUR→DEEP RES,50,253.3,-13.248025146535586,True
BASELINE→BASELINE→SOCIAL P,18,150.2,-13.3378945102826,True
SOFT BUR→SCAN BUR→BASELINE,128,337.1,-13.470153475429166,True
SCAN BUR→SOFT BUR→DEEP RES,25,212.14,-13.781157487356406,True
SCAN BUR→BASELINE→DEEP RES,111,359.24,-13.851470871665029,True
BASELINE→DEEP RES→BASELINE,261,582.26,-14.059654586038768,True
BASELINE→SOCIAL P→DEEP RES,71,257.36,-14.251705441526205,True
SOFT BUR→BASELINE→SOFT BUR,28,201.28,-14.336748963391658,True
SCAN BUR→DEEP RES→SOCIAL P,41,259.86,-14.598441596202468,True
INTENSE →SCAN BUR→SOFT BUR,12,122.84,-14.607698843273567,True
SOFT BUR→BASELINE→BASELINE,106,337.04,-14.690069292632808,True
DEEP RES→SCAN BUR→SOFT BUR,27,211.3,-14.783792386976573,True
BASELINE→SCAN BUR→SOFT BUR,205,554.2,-14.865093544566795,True
DEEP RES→SOFT BUR→SCAN BUR,11,208.94,-15.332838729671693,True
BASELINE→BASELINE→BASELINE,62,346.12,-16.063887829383404,True
SOFT BUR→BASELINE→SCAN BUR,154,552.4,-16.065038543826592,True
DEEP RES→BASELINE→SOFT BUR,229,576.56,-16.227548700319808,True
BASELINE→SOFT BUR→DEEP RES,225,577.1,-16.640176462944517,True
DEEP RES→BASELINE→SOCIAL P,48,257.94,-16.709524665725645,True
BASELINE→DEEP RES→BASELINE,34,358.02,-17.15329144718328,True
SCAN BUR→DEEP RES→SCAN BUR,231,580.12,-17.32342868626847,True
DEEP RES→SOFT BUR→SCAN BUR,190,576.84,-17.405910168867226,True
SCAN BUR→DEEP RES→BASELINE,42,357.94,-17.61604923025488,True
DEEP RES→BASELINE→DEEP RES,193,608.08,-17.677972545565932,True
BASELINE→DEEP RES→SOFT BUR,60,355.84,-17.861451935614078,True
BASELINE→BASELINE→SCAN BUR,14,340.12,-18.32523540727034,True
DEEP RES→SCAN BUR→DEEP RES,81,608.56,-18.806840438451395,True
SOCIAL P→SCAN BUR→DEEP RES,13,256.3,-19.214748864901832,True
SOFT BUR→DEEP RES→BASELINE,131,572.9,-19.230318536814853,True
BASELINE→SCAN BUR→BASELINE,33,344.72,-20.32565415399074,True
BASELINE→BASELINE→SOFT BUR,46,340.94,-21.95327935135686,True
SCAN BUR→BASELINE→SCAN BUR,84,557.12,-22.73182487063551,True
DEEP RES→SOFT BUR→DEEP RES,71,601.48,-23.688526627074665,True
SOFT BUR→DEEP RES→SOFT BUR,72,568.04,-23.72125631349193,True
BASELINE→SCAN BUR→BASELINE,38,561.64,-23.828655301567633,True
SCAN BUR→DEEP RES→BASELINE,85,586.32,-26.635168155708794,True
DEEP RES→BASELINE→SCAN BUR,31,591.14,-27.014850001038322,True
BASELINE→SCAN BUR→DEEP RES,13,583.62,-28.142651397609907,True
SOFT BUR→SCAN BUR→DEEP RES,117,576.98,-28.58951652016189,True
